Contigs to reverse
type	label	contig	strand	left_end	right_end
contig	500	chromosome	complement	1204838	1222432
contig	459	chromosome	complement	1222433	1225894
contig	60	chromosome	forward	1225895	1271115
contig	35	chromosome	complement	1271116	1357419
contig	14	chromosome	forward	1357420	1376468
contig	322	chromosome	complement	1376469	1376815
contig	374	chromosome	forward	1376816	1377452
contig	230	chromosome	forward	1377453	1382802
contig	487	chromosome	complement	1382803	1392911
contig	403	chromosome	complement	1392912	1393877
contig	11	chromosome	forward	1393878	1411511
contig	83	chromosome	forward	1411512	1478373
contig	513	chromosome	complement	1478374	1551278
contig	56	chromosome	complement	1551279	1552740
contig	382	chromosome	forward	1552741	1553466
contig	144	chromosome	forward	1553467	1555456
contig	210	chromosome	forward	1555457	1556221
contig	453	chromosome	complement	1556222	1558693
contig	137	chromosome	forward	1558694	1560781
contig	428	chromosome	forward	1560782	1562208
contig	445	chromosome	forward	1562209	1564345
contig	417	chromosome	forward	1564346	1565490
contig	344	chromosome	forward	1565491	1565931
contig	133	chromosome	complement	1565932	1566710
contig	17	chromosome	forward	1566711	1580817
contig	328	chromosome	forward	1580818	1581188
contig	121	chromosome	forward	1581189	1623281
contig	488	chromosome	complement	1623282	1633458
contig	480	chromosome	forward	1633459	1640986
contig	196	chromosome	complement	1640987	1666000
contig	482	chromosome	complement	1666001	1674049
contig	15	chromosome	forward	1674050	1715785
contig	450	chromosome	complement	1715786	1718202
contig	216	chromosome	complement	1718203	1730377
contig	94	chromosome	complement	1730378	1730790
contig	402	chromosome	forward	1730791	1731754
contig	226	chromosome	forward	1731755	1738576
contig	368	chromosome	forward	1738577	1739181
contig	105	chromosome	complement	1739182	1741354
contig	130	chromosome	complement	1741355	1742433
contig	338	chromosome	forward	1742434	1742853
contig	304	chromosome	forward	1742854	1743117
contig	142	chromosome	complement	1743118	1743656
contig	388	chromosome	forward	1743657	1744453
contig	91	chromosome	complement	1744454	1789399
contig	419	chromosome	forward	1789400	1790622
contig	16	chromosome	forward	1790623	1819389
contig	53	chromosome	complement	1819390	1866350
contig	49	chromosome	complement	1866351	1896282
contig	75	chromosome	complement	1896283	2007178
contig	508	chromosome	forward	2007179	2045699
contig	55	chromosome	complement	2045700	2054867
contig	511	chromosome	forward	2054868	2098557
contig	71	chromosome	complement	2098558	2137834
contig	30	chromosome	forward	2137835	2189140
contig	59	chromosome	complement	2189141	2227880
contig	184	chromosome	complement	2227881	2386014
contig	48	chromosome	complement	2386015	2436124
contig	12	chromosome	forward	2436125	2459870
contig	125	chromosome	forward	2459871	2479258
contig	46	chromosome	complement	2479259	2484307
contig	512	chromosome	forward	2484308	2532682
contig	10	chromosome	forward	2532683	2644120
contig	174	chromosome	forward	2644121	2644797
contig	345	chromosome	complement	2644798	2645243
contig	341	chromosome	forward	2645244	2645678
contig	456	chromosome	forward	2645679	2648577
contig	462	chromosome	complement	2648578	2652300
contig	254	chromosome	complement	2652301	2654017
contig	314	chromosome	forward	2654018	2654338
contig	378	chromosome	complement	2654339	2655051
contig	87	chromosome	complement	2655052	2659911
contig	74	chromosome	complement	2659912	2663800
contig	405	chromosome	forward	2663801	2664806
contig	116	chromosome	forward	2664807	2669293
contig	22	chromosome	complement	2669294	2676709
contig	47	chromosome	complement	2676710	2737622
contig	77	chromosome	complement	2737623	2750205
contig	438	chromosome	forward	2750206	2752240
contig	84	chromosome	complement	2752241	2769247
contig	70	chromosome	complement	2769248	2818166
contig	505	chromosome	complement	2818167	2850917
contig	54	chromosome	complement	2850918	3055259
contig	89	chromosome	forward	3055260	3075904
contig	502	chromosome	forward	3075905	3102145
contig	36	chromosome	complement	3102146	3250122
contig	498	chromosome	complement	3250123	3266582
contig	501	chromosome	complement	3266583	3285075
contig	52	chromosome	complement	3285076	3292961
contig	79	chromosome	forward	3292962	3380873
contig	122	chromosome	complement	3380874	3425482
contig	379	chromosome	forward	3425483	3426189
contig	461	chromosome	complement	3426190	3429820
contig	250	chromosome	forward	3429821	3430549
contig	454	chromosome	complement	3430550	3433163
contig	332	chromosome	forward	3433164	3433558
contig	470	chromosome	complement	3433559	3438805
contig	172	chromosome	complement	3438806	3440655
contig	106	chromosome	complement	3440656	3469946
contig	326	chromosome	forward	3469947	3470314
contig	496	chromosome	complement	3470315	3485632
contig	471	chromosome	forward	3485633	3491023
contig	73	chromosome	complement	3491024	3493514
contig	28	chromosome	forward	3493515	3538909
contig	381	chromosome	forward	3538910	3539628
contig	2	chromosome	forward	3539629	3741586
contig	5	chromosome	complement	3741587	3768214
contig	67	chromosome	complement	3768215	3826432
contig	448	chromosome	forward	3826433	3828804
contig	173	chromosome	forward	3828805	3829045
contig	82	chromosome	forward	3829046	3830711
contig	81	chromosome	complement	3830712	3832349
contig	64	chromosome	forward	3832350	3856905
contig	483	chromosome	complement	3856906	3865127
contig	292	chromosome	complement	3865128	3865348
contig	180	chromosome	forward	3865349	3866673
contig	123	chromosome	complement	3866674	3868581
contig	86	chromosome	forward	3868582	3871917
contig	481	chromosome	forward	3871918	3879478
contig	484	chromosome	complement	3879479	3888080
contig	510	chromosome	complement	3888081	3930160
contig	57	chromosome	forward	3930161	4128824
contig	42	chromosome	complement	4128825	4158484
contig	206	chromosome	forward	4158485	4180307
contig	444	chromosome	complement	4180308	4182424
contig	408	chromosome	complement	4182425	4183487
contig	437	chromosome	complement	4183488	4185489
contig	68	chromosome	complement	4185490	4195978
contig	469	chromosome	complement	4195979	4200881
contig	280	chromosome	complement	4200882	4201035
contig	468	chromosome	forward	4201036	4205888
contig	391	chromosome	complement	4205889	4206713
contig	475	chromosome	forward	4206714	4213037
contig	220	chromosome	complement	4213038	4222975
contig	279	chromosome	forward	4222976	4226467
contig	504	chromosome	forward	4226468	4258405
contig	41	chromosome	forward	4258406	4299961
contig	37	chromosome	forward	4299962	4336714
contig	102	chromosome	complement	4336715	4366525
contig	465	chromosome	forward	4366526	4370889
contig	167	chromosome	complement	4370890	4371294
contig	476	chromosome	forward	4371295	4377767
contig	65	chromosome	forward	4377768	4438377
contig	219	chromosome	complement	4438378	4491643
contig	32	chromosome	complement	4491644	4612187
contig	124	chromosome	forward	4612188	4613587
contig	370	chromosome	complement	4613588	4614199
contig	493	chromosome	complement	4614200	4627631
contig	467	chromosome	complement	4627632	4632367
contig	490	chromosome	forward	4632368	4643442
contig	222	chromosome	complement	4643443	4687022
contig	76	chromosome	complement	4687023	4771736
contig	40	chromosome	forward	4771737	4814105
contig	414	chromosome	forward	4814106	4815203
contig	147	chromosome	complement	4815204	4827979
contig	506	chromosome	forward	4827980	4863741
contig	115	chromosome	forward	4863742	4893470
contig	107	chromosome	forward	4893471	4946052
contig	51	chromosome	complement	4946053	5009444
contig	66	chromosome	forward	5009445	5040340
contig	466	chromosome	complement	5040341	5044834
contig	503	chromosome	forward	5044835	5072127
contig	61	chromosome	forward	5072128	5075080
contig	203	chromosome	complement	5075081	5076524
contig	62	chromosome	complement	5076525	5080942
contig	427	chromosome	forward	5080943	5082358
contig	98	chromosome	complement	5082359	5087788
contig	373	chromosome	complement	5087789	5088423
contig	282	chromosome	forward	5088424	5088590
contig	63	chromosome	complement	5088591	5131389
contig	93	chromosome	forward	5131390	5132862
contig	441	chromosome	forward	5132863	5134936
contig	119	chromosome	forward	5134937	5136833
contig	478	chromosome	complement	5136834	5143689
contig	129	chromosome	forward	5143690	5144526
contig	349	chromosome	complement	5144527	5145004
contig	128	chromosome	complement	5145005	5146009
contig	455	chromosome	complement	5146010	5148905
contig	1	chromosome	forward	5148906	5153468
contig	202	chromosome	forward	5153469	5159762
contig	92	chromosome	forward	5159763	5160701
contig	233	chromosome	complement	5160702	5163724
contig	479	chromosome	complement	5163725	5170961
contig	473	chromosome	complement	5170962	5176854
contig	433	chromosome	forward	5176855	5178414
contig	21	chromosome	forward	5178415	5183278
contig	340	chromosome	forward	5183279	5185205
contig	317	chromosome	complement	5185206	5185536
contig	9	chromosome	complement	5185537	5189247
contig	458	chromosome	complement	5189248	5192604
contig	424	chromosome	forward	5192605	5193947
contig	451	chromosome	forward	5193948	5196370
contig	449	chromosome	forward	5196371	5198777
contig	390	chromosome	forward	5198778	5199585
contig	126	chromosome	forward	5199586	5204640
contig	218	chromosome	forward	5204641	5205531
contig	389	chromosome	forward	5205532	5206339
contig	227	chromosome	complement	5206340	5206664
contig	4	chromosome	forward	5206665	5207657
contig	8	chromosome	forward	5207658	5207828
contig	19	chromosome	forward	5207829	5208116
contig	20	chromosome	forward	5208117	5209556
contig	23	chromosome	forward	5209557	5209723
contig	27	chromosome	forward	5209724	5210038
contig	33	chromosome	forward	5210039	5210560
contig	34	chromosome	forward	5210561	5211069
contig	85	chromosome	forward	5211070	5211504
contig	88	chromosome	forward	5211505	5212045
contig	95	chromosome	forward	5212046	5213975
contig	97	chromosome	forward	5213976	5214195
contig	99	chromosome	forward	5214196	5214468
contig	100	chromosome	forward	5214469	5214731
contig	104	chromosome	forward	5214732	5214843
contig	109	chromosome	forward	5214844	5215874
contig	111	chromosome	forward	5215875	5215994
contig	113	chromosome	forward	5215995	5216196
contig	117	chromosome	forward	5216197	5216531
contig	118	chromosome	forward	5216532	5218432
contig	120	chromosome	forward	5218433	5218794
contig	127	chromosome	forward	5218795	5219114
contig	131	chromosome	forward	5219115	5219447
contig	132	chromosome	forward	5219448	5220406
contig	135	chromosome	forward	5220407	5220841
contig	136	chromosome	forward	5220842	5221360
contig	138	chromosome	forward	5221361	5221919
contig	139	chromosome	forward	5221920	5222161
contig	145	chromosome	forward	5222162	5222634
contig	146	chromosome	forward	5222635	5222771
contig	148	chromosome	forward	5222772	5223076
contig	149	chromosome	forward	5223077	5224165
contig	151	chromosome	forward	5224166	5224563
contig	152	chromosome	forward	5224564	5225176
contig	153	chromosome	forward	5225177	5225382
contig	154	chromosome	forward	5225383	5225734
contig	155	chromosome	forward	5225735	5225942
contig	156	chromosome	forward	5225943	5226194
contig	157	chromosome	forward	5226195	5226313
contig	160	chromosome	forward	5226314	5226425
contig	161	chromosome	forward	5226426	5226871
contig	162	chromosome	forward	5226872	5227008
contig	163	chromosome	forward	5227009	5227349
contig	164	chromosome	forward	5227350	5227525
contig	166	chromosome	forward	5227526	5227660
contig	168	chromosome	forward	5227661	5228163
contig	169	chromosome	forward	5228164	5228324
contig	170	chromosome	forward	5228325	5228655
contig	171	chromosome	forward	5228656	5229446
contig	177	chromosome	forward	5229447	5230004
contig	178	chromosome	forward	5230005	5230651
contig	181	chromosome	forward	5230652	5230986
contig	182	chromosome	forward	5230987	5231488
contig	183	chromosome	forward	5231489	5231680
contig	185	chromosome	forward	5231681	5231902
contig	186	chromosome	forward	5231903	5232947
contig	187	chromosome	forward	5232948	5233096
contig	191	chromosome	forward	5233097	5233279
contig	193	chromosome	forward	5233280	5233417
contig	194	chromosome	forward	5233418	5233758
contig	195	chromosome	forward	5233759	5234013
contig	197	chromosome	forward	5234014	5234117
contig	198	chromosome	forward	5234118	5234360
contig	199	chromosome	forward	5234361	5234768
contig	204	chromosome	forward	5234769	5234921
contig	205	chromosome	forward	5234922	5236521
contig	207	chromosome	forward	5236522	5236787
contig	208	chromosome	forward	5236788	5236998
contig	209	chromosome	forward	5236999	5237433
contig	211	chromosome	forward	5237434	5238219
contig	212	chromosome	forward	5238220	5239954
contig	214	chromosome	forward	5239955	5240457
contig	215	chromosome	forward	5240458	5241139
contig	217	chromosome	forward	5241140	5241304
contig	221	chromosome	forward	5241305	5241366
contig	223	chromosome	forward	5241367	5241480
contig	224	chromosome	forward	5241481	5241649
contig	225	chromosome	forward	5241650	5241784
contig	228	chromosome	forward	5241785	5241912
contig	229	chromosome	forward	5241913	5242273
contig	232	chromosome	forward	5242274	5242383
contig	234	chromosome	forward	5242384	5242457
contig	235	chromosome	forward	5242458	5242534
contig	236	chromosome	forward	5242535	5242611
contig	238	chromosome	forward	5242612	5242692
contig	239	chromosome	forward	5242693	5242770
contig	240	chromosome	forward	5242771	5242910
contig	241	chromosome	forward	5242911	5243172
contig	242	chromosome	forward	5243173	5243549
contig	243	chromosome	forward	5243550	5243635
contig	244	chromosome	forward	5243636	5243727
contig	245	chromosome	forward	5243728	5243810
contig	246	chromosome	forward	5243811	5244181
contig	247	chromosome	forward	5244182	5244270
contig	248	chromosome	forward	5244271	5244359
contig	249	chromosome	forward	5244360	5244551
contig	251	chromosome	forward	5244552	5244750
contig	252	chromosome	forward	5244751	5244848
contig	253	chromosome	forward	5244849	5244950
contig	255	chromosome	forward	5244951	5245056
contig	256	chromosome	forward	5245057	5245161
contig	257	chromosome	forward	5245162	5245264
contig	258	chromosome	forward	5245265	5245710
contig	259	chromosome	forward	5245711	5245891
contig	260	chromosome	forward	5245892	5245994
contig	261	chromosome	forward	5245995	5246212
contig	262	chromosome	forward	5246213	5246315
contig	263	chromosome	forward	5246316	5246671
contig	264	chromosome	forward	5246672	5247228
contig	265	chromosome	forward	5247229	5247334
contig	266	chromosome	forward	5247335	5247447
contig	267	chromosome	forward	5247448	5247557
contig	268	chromosome	forward	5247558	5247837
contig	269	chromosome	forward	5247838	5248021
contig	270	chromosome	forward	5248022	5248142
contig	271	chromosome	forward	5248143	5248266
contig	272	chromosome	forward	5248267	5248393
contig	273	chromosome	forward	5248394	5248518
contig	274	chromosome	forward	5248519	5248854
contig	275	chromosome	forward	5248855	5248982
contig	277	chromosome	forward	5248983	5249119
contig	278	chromosome	forward	5249120	5249262
contig	281	chromosome	forward	5249263	5249534
contig	283	chromosome	forward	5249535	5249706
contig	284	chromosome	forward	5249707	5249889
contig	285	chromosome	forward	5249890	5250087
contig	286	chromosome	forward	5250088	5250284
contig	287	chromosome	forward	5250285	5250493
contig	288	chromosome	forward	5250494	5250699
contig	289	chromosome	forward	5250700	5251494
contig	290	chromosome	forward	5251495	5251710
contig	291	chromosome	forward	5251711	5251931
contig	293	chromosome	forward	5251932	5252155
contig	294	chromosome	forward	5252156	5252384
contig	295	chromosome	forward	5252385	5252613
contig	296	chromosome	forward	5252614	5252846
contig	298	chromosome	forward	5252847	5253090
contig	299	chromosome	forward	5253091	5253335
contig	300	chromosome	forward	5253336	5253584
contig	301	chromosome	forward	5253585	5253835
contig	302	chromosome	forward	5253836	5254086
contig	303	chromosome	forward	5254087	5254343
contig	305	chromosome	forward	5254344	5254608
contig	309	chromosome	forward	5254609	5254905
contig	311	chromosome	forward	5254906	5255219
contig	312	chromosome	forward	5255220	5255534
contig	313	chromosome	forward	5255535	5255853
contig	315	chromosome	forward	5255854	5256179
contig	316	chromosome	forward	5256180	5256510
contig	318	chromosome	forward	5256511	5256848
contig	319	chromosome	forward	5256849	5257188
contig	323	chromosome	forward	5257189	5257536
contig	324	chromosome	forward	5257537	5257885
contig	325	chromosome	forward	5257886	5258237
contig	327	chromosome	forward	5258238	5258607
contig	329	chromosome	forward	5258608	5258984
contig	330	chromosome	forward	5258985	5259361
contig	331	chromosome	forward	5259362	5259742
contig	333	chromosome	forward	5259743	5260538
contig	334	chromosome	forward	5260539	5260935
contig	336	chromosome	forward	5260936	5261355
contig	337	chromosome	forward	5261356	5261766
contig	342	chromosome	forward	5261767	5262202
contig	346	chromosome	forward	5262203	5262645
contig	348	chromosome	forward	5262646	5263088
contig	350	chromosome	forward	5263089	5263570
contig	351	chromosome	forward	5263571	5264052
contig	352	chromosome	forward	5264053	5264537
contig	353	chromosome	forward	5264538	5265032
contig	354	chromosome	forward	5265033	5265544
contig	356	chromosome	forward	5265545	5266071
contig	359	chromosome	forward	5266072	5266611
contig	360	chromosome	forward	5266612	5267159
contig	361	chromosome	forward	5267160	5267709
contig	362	chromosome	forward	5267710	5268272
contig	363	chromosome	forward	5268273	5268847
contig	364	chromosome	forward	5268848	5269423
contig	365	chromosome	forward	5269424	5270005
contig	366	chromosome	forward	5270006	5270595
contig	367	chromosome	forward	5270596	5271194
contig	369	chromosome	forward	5271195	5271801
contig	371	chromosome	forward	5271802	5272415
contig	377	chromosome	forward	5272416	5273099
contig	380	chromosome	forward	5273100	5273810
contig	383	chromosome	forward	5273811	5274536
contig	393	chromosome	forward	5274537	5275386
contig	396	chromosome	forward	5275387	5276241
contig	397	chromosome	forward	5276242	5277105
contig	398	chromosome	forward	5277106	5277995
contig	400	chromosome	forward	5277996	5278891
contig	415	chromosome	forward	5278892	5279991
contig	420	chromosome	forward	5279992	5281217
contig	429	chromosome	forward	5281218	5282659
contig	434	chromosome	forward	5282660	5284262
contig	495	chromosome	forward	5284263	5299150


Contigs with conflicting ordering information
type	label	contig	strand	left_end	right_end
contig	471	chromosome	forward	3488969	3494359
contig	28	chromosome	forward	3496851	3542245
contig	86	chromosome	forward	2752241	2755576
contig	123	chromosome	complement	3870010	3871917
contig	498	chromosome	complement	3253459	3269918
contig	79	chromosome	forward	3296298	3384209
contig	326	chromosome	forward	3473283	3473650
contig	82	chromosome	forward	3832382	3834047
contig	52	chromosome	complement	3288412	3296297
contig	470	chromosome	complement	3436895	3442141
contig	379	chromosome	forward	3428819	3429525
contig	61	chromosome	forward	5072128	5075080
contig	381	chromosome	forward	3542246	3542964
contig	54	chromosome	complement	2854254	3058595
contig	496	chromosome	complement	3473651	3488968
contig	89	chromosome	forward	3058596	3079240
contig	73	chromosome	complement	3494360	3496850
contig	332	chromosome	forward	3436500	3436894
contig	292	chromosome	complement	3868464	3868684
contig	64	chromosome	forward	3835686	3860241
contig	106	chromosome	complement	3443992	3473282
contig	67	chromosome	complement	3771551	3829768
contig	503	chromosome	forward	5044835	5072127
contig	250	chromosome	forward	3433157	3433885
contig	81	chromosome	complement	3834048	3835685
contig	2	chromosome	forward	3542965	3744922
contig	448	chromosome	forward	3829769	3832140
contig	173	chromosome	forward	3832141	3832381
contig	36	chromosome	complement	3105482	3253458
contig	461	chromosome	complement	3429526	3433156
contig	122	chromosome	complement	3384210	3428818
contig	5	chromosome	complement	3744923	3771550
contig	501	chromosome	complement	3269919	3288411
contig	454	chromosome	complement	3433886	3436499
contig	483	chromosome	complement	3860242	3868463
contig	70	chromosome	complement	2772584	2821502
contig	172	chromosome	complement	3442142	3443991
contig	84	chromosome	complement	2755577	2772583
contig	502	chromosome	forward	3079241	3105481
contig	505	chromosome	complement	2821503	2854253
contig	180	chromosome	forward	3868685	3870009



