Category	Subcategory	Subsystem	Role	Features
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Naphthoate synthase (EC 4.1.3.36)	fig|6666666.5373.peg.4411
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	fig|6666666.5373.peg.4412
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	fig|6666666.5373.peg.3987, fig|6666666.5373.peg.4413
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	fig|6666666.5373.peg.3986
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	O-succinylbenzoate-CoA synthase (EC 4.2.1.-)	fig|6666666.5373.peg.4410, fig|6666666.5373.peg.4408, fig|6666666.5373.peg.4409
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.-)	fig|6666666.5373.peg.4592
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	fig|6666666.5373.peg.4407, fig|6666666.5373.peg.2118
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)	fig|6666666.5373.peg.7641, fig|6666666.5373.peg.7640, fig|6666666.5373.peg.7639
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	fig|6666666.5373.peg.285, fig|6666666.5373.peg.284
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	Ubiquinone biosynthesis monooxygenase UbiB	fig|6666666.5373.peg.7637
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)	fig|6666666.5373.peg.7641, fig|6666666.5373.peg.7640, fig|6666666.5373.peg.7639
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	Chorismate--pyruvate lyase (EC 4.1.3.40)	fig|6666666.5373.peg.7313, fig|6666666.5373.peg.7314
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.-)	fig|6666666.5373.peg.7312
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-)	fig|6666666.5373.peg.4839
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	fig|6666666.5373.peg.282, fig|6666666.5373.peg.283
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	NAD(P)H-flavin reductase (EC 1.5.1.29) (EC 1.16.1.3)	fig|6666666.5373.peg.184, fig|6666666.5373.peg.185
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	Protein YigP (COG3165) clustered with ubiquinone biosynthetic genes	fig|6666666.5373.peg.7638
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Ubiquinone Biosynthesis	3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)	fig|6666666.5373.peg.183
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	fig|6666666.5373.peg.6016
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Alpha-ribazole-5&#39;-phosphate phosphatase (EC 3.1.3.73)	fig|6666666.5373.peg.4914
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	fig|6666666.5373.peg.432
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Cobalamin synthase	fig|6666666.5373.peg.433
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Cobalamin synthesis	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	fig|6666666.5373.peg.1382
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Glutamyl-tRNA synthetase (EC 6.1.1.17)	fig|6666666.5373.peg.1718
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Uroporphyrinogen-III synthase (EC 4.2.1.75)	fig|6666666.5373.peg.1176
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	fig|6666666.5373.peg.5979, fig|6666666.5373.peg.5978
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Precorrin-2 oxidase (EC 1.3.1.76)	fig|6666666.5373.peg.4689, fig|6666666.5373.peg.4688
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Radical SAM family enzyme, similar to coproporphyrinogen III oxidase, oxygen-independent, clustered with nucleoside-triphosphatase RdgB	fig|6666666.5373.peg.3935, fig|6666666.5373.peg.3936
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Porphobilinogen deaminase (EC 2.5.1.61)	fig|6666666.5373.peg.1177
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Translation elongation factor LepA	fig|6666666.5373.peg.549
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)	fig|6666666.5373.peg.4689, fig|6666666.5373.peg.4688
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)	fig|6666666.5373.peg.3323, fig|6666666.5373.peg.3322
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Cobalamin synthase	fig|6666666.5373.peg.433
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Porphobilinogen synthase (EC 4.2.1.24)	fig|6666666.5373.peg.7216, fig|6666666.5373.peg.7215, fig|6666666.5373.peg.7214
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	fig|6666666.5373.peg.1382
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	fig|6666666.5373.peg.3584, fig|6666666.5373.peg.3583
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Protoporphyrinogen IX oxidase, oxygen-independent, HemG (EC 1.3.-.-)	fig|6666666.5373.peg.5031
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Glutamyl-tRNA reductase (EC 1.2.1.70)	fig|6666666.5373.peg.4976
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Homolog of E. coli HemX protein	fig|6666666.5373.peg.1175
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)	fig|6666666.5373.peg.3934
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	fig|6666666.5373.peg.637, fig|6666666.5373.peg.636, fig|6666666.5373.peg.638
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Heme and Siroheme Biosynthesis	Sirohydrochlorin ferrochelatase (EC 4.99.1.4)	fig|6666666.5373.peg.4689, fig|6666666.5373.peg.4688
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Outer membrane vitamin B12 receptor BtuB	fig|6666666.5373.peg.5783
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	fig|6666666.5373.peg.432
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cobalamin synthase	fig|6666666.5373.peg.433
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Vitamin B12 ABC transporter, permease component BtuC	fig|6666666.5373.peg.4069
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	fig|6666666.5373.peg.1382
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	fig|6666666.5373.peg.6016
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Alpha-ribazole-5&#39;-phosphate phosphatase (EC 3.1.3.73)	fig|6666666.5373.peg.4914
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Vitamin B12 ABC transporter, ATPase component BtuD	fig|6666666.5373.peg.4066, fig|6666666.5373.peg.4065
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)	fig|6666666.5373.peg.4689, fig|6666666.5373.peg.4688
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Coenzyme B12 biosynthesis	Vitamin B12 ABC transporter, B12-binding component BtuF	fig|6666666.5373.peg.5918
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	FMN adenylyltransferase (EC 2.7.7.2)	fig|6666666.5373.peg.4129, fig|6666666.5373.peg.4130
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	fig|6666666.5373.peg.2855, fig|6666666.5373.peg.2856
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	C-terminal domain of CinA type S	fig|6666666.5373.peg.1656
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	fig|6666666.5373.peg.6430, fig|6666666.5373.peg.6432, fig|6666666.5373.peg.6431
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	tRNA pseudouridine synthase B (EC 4.2.1.70)	fig|6666666.5373.peg.6574
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	Riboflavin kinase (EC 2.7.1.26)	fig|6666666.5373.peg.4129, fig|6666666.5373.peg.4130
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	GTP cyclohydrolase II (EC 3.5.4.25)	fig|6666666.5373.peg.2029
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)	fig|6666666.5373.peg.6881
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)	fig|6666666.5373.peg.6430, fig|6666666.5373.peg.6432, fig|6666666.5373.peg.6431
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	Riboflavin synthase alpha chain (EC 2.5.1.9)	fig|6666666.5373.peg.2857, fig|6666666.5373.peg.2858
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	riboflavin to FAD	FMN adenylyltransferase (EC 2.7.7.2)	fig|6666666.5373.peg.4129, fig|6666666.5373.peg.4130
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	riboflavin to FAD	Riboflavin synthase alpha chain (EC 2.5.1.9)	fig|6666666.5373.peg.2857, fig|6666666.5373.peg.2858
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	riboflavin to FAD	Riboflavin kinase (EC 2.7.1.26)	fig|6666666.5373.peg.4129, fig|6666666.5373.peg.4130
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Flavodoxin	Hypothetical flavoprotein YqcA (clustered with tRNA pseudouridine synthase C)	fig|6666666.5373.peg.7258
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Flavodoxin	Flavodoxin 1	fig|6666666.5373.peg.5551
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Flavodoxin	Flavodoxin 2	fig|6666666.5373.peg.5592
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Flavodoxin	Flavoprotein MioC	fig|6666666.5373.peg.1252
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism	FMN adenylyltransferase (EC 2.7.7.2)	fig|6666666.5373.peg.4129, fig|6666666.5373.peg.4130
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)	fig|6666666.5373.peg.6430, fig|6666666.5373.peg.6432, fig|6666666.5373.peg.6431
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism	5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	fig|6666666.5373.peg.6430, fig|6666666.5373.peg.6432, fig|6666666.5373.peg.6431
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism	Riboflavin synthase alpha chain (EC 2.5.1.9)	fig|6666666.5373.peg.2857, fig|6666666.5373.peg.2858
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism	Riboflavin kinase (EC 2.7.1.26)	fig|6666666.5373.peg.4129, fig|6666666.5373.peg.4130
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism	GTP cyclohydrolase II (EC 3.5.4.25)	fig|6666666.5373.peg.2029
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	fig|6666666.5373.peg.4467
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	fig|6666666.5373.peg.423, fig|6666666.5373.peg.422
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	Pyridoxamine 5&#39;-phosphate oxidase (EC 1.4.3.5)	fig|6666666.5373.peg.2776
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	fig|6666666.5373.peg.2048, fig|6666666.5373.peg.2049
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	D-erythrose-4-phosphate dehydrogenase (EC 1.2.1.72)	fig|6666666.5373.peg.4172, fig|6666666.5373.peg.4171
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	Pyridoxal kinase (EC 2.7.1.35)	fig|6666666.5373.peg.4495, fig|6666666.5373.peg.6280, fig|6666666.5373.peg.6282, fig|6666666.5373.peg.6281, fig|6666666.5373.peg.4494
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	Pyridoxine 5&#39;-phosphate synthase (EC 2.6.99.2)	fig|6666666.5373.peg.3724, fig|6666666.5373.peg.3723
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	Phosphoserine aminotransferase (EC 2.6.1.52)	fig|6666666.5373.peg.6879, fig|6666666.5373.peg.6878
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	fig|6666666.5373.peg.6424, fig|6666666.5373.peg.5244
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	fig|6666666.5373.peg.3425, fig|6666666.5373.peg.3426, fig|6666666.5373.peg.4596
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	C-terminal domain of CinA paralog, YdeJ	fig|6666666.5373.peg.2801
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)	fig|6666666.5373.peg.3978, fig|6666666.5373.peg.3977
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Nicotinamidase family protein YcaC	fig|6666666.5373.peg.7170
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Predicted N-ribosylNicotinamide CRP-like regulator	fig|6666666.5373.peg.4004, fig|6666666.5373.peg.4005
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	ADP-ribose pyrophosphatase (EC 3.6.1.13)	fig|6666666.5373.peg.3892, fig|6666666.5373.peg.3893
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	NadR transcriptional regulator	fig|6666666.5373.peg.6183
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	fig|6666666.5373.peg.3979, fig|6666666.5373.peg.3980
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	NMN phosphatase (EC 3.1.3.5)	fig|6666666.5373.peg.6550, fig|6666666.5373.peg.6551
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Iojap protein	fig|6666666.5373.peg.4915, fig|6666666.5373.peg.4916
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Ribosyl nicotinamide transporter, PnuC-like	fig|6666666.5373.peg.5791
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	LSU m3Psi1915 methyltransferase RlmH	fig|6666666.5373.peg.4917
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	fig|6666666.5373.peg.4913
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Nicotinamidase/isochorismatase family protein	fig|6666666.5373.peg.4934
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)	fig|6666666.5373.peg.7412
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Ribosylnicotinamide kinase (EC 2.7.1.22)	fig|6666666.5373.peg.6183
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	fig|6666666.5373.peg.3818
